Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
16.1695,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.150171,0,0,
16.2947,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.154554,0,0,
16.4199,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.115751,0,0,
16.5449,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.138978,0,0,
16.6699,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.182506,0,0,
16.795,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.149943,0,0,
16.92,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.165842,0,0,
17.0452,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.137034,0,0,
17.1705,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.125839,0,0,
17.2956,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.208797,0,0,
17.4208,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.147054,0,0,
17.5458,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.317079,0,0,
17.6708,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.151467,0,0,
17.7959,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0559814,0,0,
17.921,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0834805,0,0,
